context,p_success_stat,p_success_id,util_saved,cost_penalty,trials,help_count,success_count,help_rate,success_rate
stat,0.3,0.9,2.0,0.5,1000,1000,296,1.0,0.296
id,0.3,0.9,2.0,0.5,1000,1000,898,1.0,0.898
