p_success_stat,cost_penalty,p_success_id,util_saved,help_rate_stat,help_rate_id
0.0,0.0,0.9,2.0,0.0,1.0
0.1285714285714286,0.0,0.9,2.0,1.0,1.0
0.2571428571428572,0.0,0.9,2.0,1.0,1.0
0.3857142857142858,0.0,0.9,2.0,1.0,1.0
0.5142857142857143,0.0,0.9,2.0,1.0,1.0
0.6428571428571429,0.0,0.9,2.0,1.0,1.0
0.7714285714285716,0.0,0.9,2.0,1.0,1.0
0.9,0.0,0.9,2.0,1.0,1.0
0.0,0.21428571428571427,0.9,2.0,0.0,1.0
0.1285714285714286,0.21428571428571427,0.9,2.0,1.0,1.0
0.2571428571428572,0.21428571428571427,0.9,2.0,1.0,1.0
0.3857142857142858,0.21428571428571427,0.9,2.0,1.0,1.0
0.5142857142857143,0.21428571428571427,0.9,2.0,1.0,1.0
0.6428571428571429,0.21428571428571427,0.9,2.0,1.0,1.0
0.7714285714285716,0.21428571428571427,0.9,2.0,1.0,1.0
0.9,0.21428571428571427,0.9,2.0,1.0,1.0
0.0,0.42857142857142855,0.9,2.0,0.0,1.0
0.1285714285714286,0.42857142857142855,0.9,2.0,1.0,1.0
0.2571428571428572,0.42857142857142855,0.9,2.0,1.0,1.0
0.3857142857142858,0.42857142857142855,0.9,2.0,1.0,1.0
0.5142857142857143,0.42857142857142855,0.9,2.0,1.0,1.0
0.6428571428571429,0.42857142857142855,0.9,2.0,1.0,1.0
0.7714285714285716,0.42857142857142855,0.9,2.0,1.0,1.0
0.9,0.42857142857142855,0.9,2.0,1.0,1.0
0.0,0.6428571428571428,0.9,2.0,0.0,1.0
0.1285714285714286,0.6428571428571428,0.9,2.0,0.0,1.0
0.2571428571428572,0.6428571428571428,0.9,2.0,1.0,1.0
0.3857142857142858,0.6428571428571428,0.9,2.0,1.0,1.0
0.5142857142857143,0.6428571428571428,0.9,2.0,1.0,1.0
0.6428571428571429,0.6428571428571428,0.9,2.0,1.0,1.0
0.7714285714285716,0.6428571428571428,0.9,2.0,1.0,1.0
0.9,0.6428571428571428,0.9,2.0,1.0,1.0
0.0,0.8571428571428571,0.9,2.0,0.0,1.0
0.1285714285714286,0.8571428571428571,0.9,2.0,0.0,1.0
0.2571428571428572,0.8571428571428571,0.9,2.0,1.0,1.0
0.3857142857142858,0.8571428571428571,0.9,2.0,1.0,1.0
0.5142857142857143,0.8571428571428571,0.9,2.0,1.0,1.0
0.6428571428571429,0.8571428571428571,0.9,2.0,1.0,1.0
0.7714285714285716,0.8571428571428571,0.9,2.0,1.0,1.0
0.9,0.8571428571428571,0.9,2.0,1.0,1.0
0.0,1.0714285714285714,0.9,2.0,0.0,1.0
0.1285714285714286,1.0714285714285714,0.9,2.0,0.0,1.0
0.2571428571428572,1.0714285714285714,0.9,2.0,1.0,1.0
0.3857142857142858,1.0714285714285714,0.9,2.0,1.0,1.0
0.5142857142857143,1.0714285714285714,0.9,2.0,1.0,1.0
0.6428571428571429,1.0714285714285714,0.9,2.0,1.0,1.0
0.7714285714285716,1.0714285714285714,0.9,2.0,1.0,1.0
0.9,1.0714285714285714,0.9,2.0,1.0,1.0
0.0,1.2857142857142856,0.9,2.0,0.0,1.0
0.1285714285714286,1.2857142857142856,0.9,2.0,0.0,1.0
0.2571428571428572,1.2857142857142856,0.9,2.0,0.0,1.0
0.3857142857142858,1.2857142857142856,0.9,2.0,1.0,1.0
0.5142857142857143,1.2857142857142856,0.9,2.0,1.0,1.0
0.6428571428571429,1.2857142857142856,0.9,2.0,1.0,1.0
0.7714285714285716,1.2857142857142856,0.9,2.0,1.0,1.0
0.9,1.2857142857142856,0.9,2.0,1.0,1.0
0.0,1.5,0.9,2.0,0.0,1.0
0.1285714285714286,1.5,0.9,2.0,0.0,1.0
0.2571428571428572,1.5,0.9,2.0,0.0,1.0
0.3857142857142858,1.5,0.9,2.0,0.0,1.0
0.5142857142857143,1.5,0.9,2.0,1.0,1.0
0.6428571428571429,1.5,0.9,2.0,1.0,1.0
0.7714285714285716,1.5,0.9,2.0,1.0,1.0
0.9,1.5,0.9,2.0,1.0,1.0
