p_success,P_help_statistical,P_help_identified,u_saved,cost_stat,cost_id,beta
0.59,0.503926735844439,0.8539230150264082,2.0,0.5,0.15,5.0
0.6,0.5336843178845742,0.8681777058635824,2.0,0.5,0.15,5.0
0.61,0.5637165889258856,0.8814527272638898,2.0,0.5,0.15,5.0
0.62,0.5937957678653007,0.8937545657264356,2.0,0.5,0.15,5.0
0.63,0.6236856388505486,0.9050999886061268,2.0,0.5,0.15,5.0
0.64,0.6531487820727283,0.9155147123725548,2.0,0.5,0.15,5.0
0.65,0.6819541354119251,0.9250319881499267,2.0,0.5,0.15,5.0
0.66,0.7098843866008843,0.9336911669636354,2.0,0.5,0.15,5.0
0.67,0.7367426978968458,0.9415362982048884,2.0,0.5,0.15,5.0
0.68,0.7623583242967567,0.9486148043925184,2.0,0.5,0.15,5.0
0.6900000000000001,0.7865907938385203,0.9549762644087166,2.0,0.5,0.15,5.0
0.7000000000000001,0.809332458208831,0.9606713268642705,2.0,0.5,0.15,5.0
0.71,0.8305093729169909,0.9657507657287244,2.0,0.5,0.15,5.0
0.72,0.8500806077193638,0.9702646822306281,2.0,0.5,0.15,5.0
0.73,0.8680362026376701,0.9742618504764727,2.0,0.5,0.15,5.0
0.74,0.8843940621245149,0.9777891992726722,2.0,0.5,0.15,5.0
0.75,0.899196116343503,0.9808914191615371,2.0,0.5,0.15,5.0
0.76,0.9125040773307794,0.9836106815213036,2.0,0.5,0.15,5.0
0.77,0.9243950867729266,0.9859864555139274,2.0,0.5,0.15,5.0
0.78,0.9349575013071463,0.9880554084640082,2.0,0.5,0.15,5.0
0.79,0.9442870007579062,0.9898513756994287,2.0,0.5,0.15,5.0
0.8,0.952483143243186,0.9914053867837976,2.0,0.5,0.15,5.0
0.81,0.9596464349865074,0.992745736257218,2.0,0.5,0.15,5.0
0.8200000000000001,0.9658759358404603,0.9938980883419073,2.0,0.5,0.15,5.0
0.8300000000000001,0.971267385624883,0.9948856064602042,2.0,0.5,0.15,5.0
0.84,0.9759118113666846,0.995729099779692,2.0,0.5,0.15,5.0
0.85,0.9798945602387338,0.9964471802922724,2.0,0.5,0.15,5.0
0.86,0.9832946956838132,0.9970564251189865,2.0,0.5,0.15,5.0
0.87,0.9861846929510066,0.9975715397931986,2.0,0.5,0.15,5.0
0.88,0.9886303732423322,0.9980055192057666,2.0,0.5,0.15,5.0
0.89,0.9906910213041563,0.9983698036998837,2.0,0.5,0.15,5.0
0.9,0.9924196383669021,0.9986744284895166,2.0,0.5,0.15,5.0
0.91,0.99386328994163,0.9989281651586969,2.0,0.5,0.15,5.0
0.92,0.9950635155467736,0.9991386545011679,2.0,0.5,0.15,5.0
0.93,0.9960567746968152,0.9993125304163473,2.0,0.5,0.15,5.0
0.9400000000000001,0.9968749105437811,0.9994555350565556,2.0,0.5,0.15,5.0
0.9500000000000001,0.9975456202074092,0.9995726260848907,2.0,0.5,0.15,5.0
0.96,0.9980929317243278,0.9996680782262918,2.0,0.5,0.15,5.0
0.97,0.9985377113730508,0.9997455849594228,2.0,0.5,0.15,5.0
0.98,0.9988983064964484,0.9998083799536734,2.0,0.5,0.15,5.0
0.99,0.9991918806292434,0.9998594760838524,2.0,0.5,0.15,5.0
1.0,0.9994472213630563,0.9999038975844972,2.0,0.5,0.15,5.0
