context,p_success_stat,p_success_id,util_saved,trials,help_count,success_count,help_rate,success_rate
stat,0.3,0.9,2.0,1000,1000,306,1.0,0.306
id,0.3,0.9,2.0,1000,1000,909,1.0,0.909
